,City,City ID,Latitude,Longitude,Temperature,Weather Description,Humidity,Cloudiness,Wind Speed,Country
109,Borgarnes,2038407,64.5383,-21.9206,44.51000000000008,overcast clouds,87,96,21.6759486,IS
110,Broome,2036074,42.2506,-75.833,61.7,few clouds,75,20,1.006623,US
111,Tytuvenai,1882,55.6,23.2,42.71000000000008,overcast clouds,88,100,4.4291412,LT
112,Alice Springs,9483,-23.7,133.8833,80.15,few clouds,13,15,10.3570322,AU
113,Goderich,2008021,43.7501,-81.7165,57.542,light rain,80,43,5.391025400000001,CA
114,Ancud,8512,-41.8697,-73.8203,40.53200000000002,broken clouds,81,80,7.7845512,CL
115,Muros,72671,42.7762,-9.0603,64.07600000000009,broken clouds,92,76,5.010745600000001,ES
116,Nelson Bay,2011763,-32.7167,152.15,56.91200000000006,light rain,94,35,20.0877212,AU
117,Waqqas,6862,32.5427,35.6053,71.6,clear sky,61,0,3.0422384000000005,JO
118,Pangnirtung,968,66.1451,-65.7125,32.0,clear sky,74,1,5.7489358,CA
119,Berlevag,1633,70.8578,29.0864,39.2,overcast clouds,77,100,12.817666200000001,NO
120,Rio Grande,2020865,-32.035,-52.0986,60.944000000000074,overcast clouds,98,100,1.0513618,BR
121,Lalsot,9170,26.5667,76.3333,81.26600000000002,clear sky,73,8,9.0819764,IN
122,Santa Fe,2008823,-31.6333,-60.7,63.608000000000004,scattered clouds,70,40,7.0016222,AR
123,Maldonado,8712,-34.6667,-54.9167,54.788000000000046,overcast clouds,98,100,6.845036400000001,UY
124,Mackay,2002906,-21.15,149.2,87.04400000000007,few clouds,53,17,11.8781514,AU
125,Elizabeth City,2002902,36.2946,-76.2511,73.72400000000002,clear sky,91,1,5.7489358,US
126,Camacari,8454,-12.6975,-38.3242,76.76600000000002,clear sky,90,3,3.9817532000000004,BR
127,Lukovetskiy,8922,64.2956,41.9211,46.38200000000002,overcast clouds,90,100,16.2849232,RU
128,Colares,2021330,38.7992,-9.4469,69.62000000000006,overcast clouds,80,98,10.4688792,PT
129,Guaratinga,8422,-16.5667,-39.5667,72.26600000000002,clear sky,97,1,3.1988242000000002,BR
130,San Javier,2030657,37.8063,-0.8374,74.24600000000005,overcast clouds,85,100,2.9974996000000003,ES
131,Mount Isa,9495,-20.7333,139.5,83.96600000000001,overcast clouds,11,100,10.3570322,AU
132,Twin Falls,6085,42.3505,-114.6445,64.74199999999999,clear sky,39,1,9.216192800000002,US
